시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일
경기도 가평군 가평읍 개곡리,7**,단독,8m미만,180.4,438,202101,15,"22,000",1997,당목가일길,
경기도 가평군 가평읍 개곡리,7**,단독,8m미만,180.4,438,202102,19,"22,000",1997,당목가일길,
경기도 가평군 가평읍 개곡리,1**,단독,8m미만,50.42,648,202104,27,"8,820",1900,당목가일길,
경기도 가평군 가평읍 개곡리,1**,단독,8m미만,50.42,648,202102,27,"8,815",1900,당목가일길,20210427
경기도 가평군 가평읍 금대리,3**,단독,12m미만,229.02,315,202105,3,"106,000",2019,북한강변로,
경기도 가평군 가평읍 금대리,3**,단독,12m미만,229.6,337,202103,16,"100,000",2019,null,
경기도 가평군 가평읍 금대리,3**,단독,12m미만,229.6,337,202103,23,"100,000",2019,null,
경기도 가평군 가평읍 금대리,5**,단독,8m미만,199.08,396,202107,1,"33,841",1998,북한강변로,
경기도 가평군 가평읍 금대리,5*,단독,8m미만,110.8,835,202105,18,"27,000",2013,북한강변로,
경기도 가평군 가평읍 금대리,8*,단독,8m미만,628.02,898,202103,31,"264,326",2008,북한강변로,
경기도 가평군 가평읍 달전리,3**,단독,12m미만,62.48,281,202102,15,"25,720",1970,강산길,
경기도 가평군 가평읍 달전리,2**,단독,8m미만,162.12,439,202103,25,"53,000",2021,동연재로,
경기도 가평군 가평읍 대곡리,1**,단독,25m미만,81.66,202,202103,18,"16,500",1978,비석거리길,
경기도 가평군 가평읍 대곡리,2**,단독,8m미만,208.52,379,202101,4,"26,000",1988,새말옛로,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,56.12,218,202107,1,"13,000",2019,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,5**,단독,8m미만,98.43,330,202104,9,"16,450",1999,태봉두밀로596번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,76.01,367,202104,15,"17,615",2011,태봉두밀로406번길,20210531
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,76.01,367,202105,31,"17,615",2011,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,138.19,422,202106,2,"15,600",2003,태봉두밀로,
경기도 가평군 가평읍 두밀리,5**,단독,8m미만,181.96,721,202104,19,"22,400",1997,태봉두밀로596번길,
경기도 가평군 가평읍 마장리,3**,단독,8m미만,47.55,352,202103,5,"9,000",2009,물안산길,
경기도 가평군 가평읍 마장리,8**,단독,8m미만,123.01,355,202102,26,"29,600",2020,아랫마장길,
경기도 가평군 가평읍 마장리,6*,단독,8m미만,84.28,443,202107,14,"27,200",2018,null,
경기도 가평군 가평읍 복장리,6**,단독,8m미만,78.24,270,202105,7,"9,000",1999,상지로,
경기도 가평군 가평읍 복장리,5**,단독,8m미만,125.35,496,202107,9,"8,500",1999,학익동길,
경기도 가평군 가평읍 복장리,3**,단독,8m미만,106.74,863,202103,13,"22,000",2008,학익동길,
경기도 가평군 가평읍 승안리,1*,단독,8m미만,26.1,87,202106,10,"3,900",1970,계량촌길,
경기도 가평군 가평읍 승안리,1*,단독,8m미만,69.5,194,202105,1,"10,800",1980,계량촌길,
경기도 가평군 가평읍 승안리,2*,단독,8m미만,94.14,485,202102,20,"19,300",1981,계량촌길,
경기도 가평군 가평읍 읍내리,5**,단독,8m미만,74.01,198,202101,11,"23,000",1990,향교로27번길,
경기도 가평군 가평읍 읍내리,7**,단독,12m미만,99.95,335,202106,15,"47,000",2021,석봉로239번길,
경기도 가평군 가평읍 하색리,7**,다가구,12m미만,182.6,682,202103,13,"52,000",2014,태봉두밀로,
경기도 가평군 가평읍 하색리,7**,다가구,8m미만,421.02,1465,202104,30,"109,000",2014,태봉두밀로,
경기도 가평군 가평읍 하색리,6**,단독,8m미만,79,399,202106,1,"18,600",2020,태봉안길,
경기도 가평군 가평읍 하색리,6**,단독,8m미만,211.94,495,202104,13,"40,000",2016,태봉안길,20210416
경기도 가평군 가평읍 하색리,6**,단독,8m미만,211.94,495,202104,13,"31,000",2016,태봉안길,
경기도 가평군 가평읍 하색리,4**,단독,8m미만,88.95,501,202104,18,"15,200",1990,태봉안길,
경기도 가평군 가평읍 하색리,7**,단독,8m미만,199.82,558,202103,13,"51,600",2014,태봉두밀로,
경기도 가평군 북면 도대리,3**,다가구,8m미만,149.43,294,202103,3,"49,489",2017,가화로,
경기도 가평군 북면 도대리,3**,다가구,8m미만,148.27,299,202103,3,"50,000",2017,가화로,
경기도 가평군 북면 도대리,1**,단독,8m미만,49.9,655,202105,15,"15,000",1900,오목골길,
경기도 가평군 북면 도대리,1**,단독,8m미만,145.6,755,202104,15,"28,000",2014,오목골길,
경기도 가평군 북면 도대리,3**,단독,8m미만,195.94,979,202103,31,"37,900",2004,오동골길,
경기도 가평군 북면 목동리,8**,단독,8m미만,42,242,202107,8,"6,600",1900,목동복지로10번길,
경기도 가평군 북면 목동리,7**,단독,8m미만,38.01,324,202102,19,"9,600",1900,가화로,
경기도 가평군 북면 목동리,4**,단독,8m미만,73.78,396,202103,4,"15,600",1997,싸리재길,
경기도 가평군 북면 백둔리,4**,단독,8m미만,84.65,380,202106,1,"8,450",2010,백둔로560번길,
경기도 가평군 북면 백둔리,4**,단독,8m미만,101.56,553,202104,14,"17,300",1996,백둔로560번길,
경기도 가평군 북면 백둔리,4**,단독,8m미만,101.56,553,202103,22,"17,300",1996,백둔로560번길,
