,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
1344,경기도 광주시 곤지암읍 곤지암리,4**,단독,-,84.98,191,202012,2,51000,2021,대석동길61번길,
1345,경기도 광주시 곤지암읍 곤지암리,4**,단독,-,85,191,202012,2,51000,2020,,
1346,경기도 광주시 곤지암읍 곤지암리,4**,단독,-,84.73,261,202008,3,55000,2020,대석동길61번길,
1347,경기도 광주시 곤지암읍 곤지암리,4**,단독,-,84.73,261,202010,15,55000,2020,대석동길61번길,
1348,경기도 광주시 곤지암읍 곤지암리,4**,단독,8m미만,84.73,261,202009,22,55000,2020,대석동길61번길,
1350,경기도 광주시 곤지암읍 곤지암리,4**,단독,8m미만,99.09,348,202003,1,60000,2019,대석동길61번길,
1382,경기도 광주시 곤지암읍 수양리,5*,단독,8m미만,116.35,711,202005,6,52680,2009,신만로,
1384,경기도 광주시 곤지암읍 수양리,3**,단독,8m미만,194.74,808,202001,18,58000,2009,경충대로295번길,
1385,경기도 광주시 곤지암읍 신대리,1**,단독,12m미만,217.36,426,202004,3,66000,2003,신대길,
1396,경기도 광주시 곤지암읍 열미리,2**,단독,8m미만,135.8,552,202007,14,51000,2020,광여로313번길,
1398,경기도 광주시 곤지암읍 열미리,6*,단독,8m미만,129.2,699,202009,27,52000,2020,열미길,20201006
1409,경기도 광주시 곤지암읍 오향리,1**,단독,8m미만,153.52,1180,202012,11,54500,2006,오향길34번길,
1427,경기도 광주시 남종면 삼성리,4**,단독,8m미만,129.43,328,202007,22,77000,2000,삼성길,
1437,경기도 광주시 남종면 수청리,3**,단독,12m미만,91.4,1601,202009,30,73240,2003,산수로,
1442,경기도 광주시 남한산성면 상번천리,6**,단독,8m미만,114.25,549,202005,8,59000,2007,솔치길,
1443,경기도 광주시 남한산성면 상번천리,2**,단독,8m미만,144.06,924,202004,10,68000,2007,관청수길,
1477,경기도 광주시 도척면 상림리,1**,단독,8m미만,492.46,998,202009,27,95058,2009,시어골길178번길,
1484,경기도 광주시 도척면 진우리,4**,단독,8m미만,168.88,359,202012,17,57000,2020,진말길,
1505,경기도 광주시 목동,2**,단독,8m미만,379.92,541,202001,10,68200,2004,광남안로,
1507,경기도 광주시 목동,3**,단독,8m미만,177.75,551,202007,11,52000,2008,목동길45번길,
