,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
774,경기도 광주시 곤지암읍 곤지암리,4**,단독,-,84.36,191.0,202103,15,54000,2021.0,대석동길61번길,
823,경기도 광주시 남종면 귀여리,5**,단독,12m미만,195.1,1049.0,202106,15,68000,2008.0,산수로,
835,경기도 광주시 남한산성면 상번천리,2**,단독,8m미만,127.6,688.0,202104,27,54500,2012.0,내곡길,
840,경기도 광주시 남한산성면 엄미리,6**,단독,8m미만,199.76,330.0,202104,10,51000,2009.0,엄미길,
860,경기도 광주시 도척면 방도리,3**,단독,12m미만,350.26,810.0,202106,9,57500,2002.0,방도길,
866,경기도 광주시 도척면 상림리,1**,단독,8m미만,115.02,583.0,202106,7,58000,2021.0,시어골길,
870,경기도 광주시 도척면 상림리,2**,단독,8m미만,411.53,1320.0,202104,15,59000,2008.0,시어골길200번길,
875,경기도 광주시 도척면 진우리,4**,단독,8m미만,465.13,343.0,202101,27,52000,2008.0,도척로,
876,경기도 광주시 도척면 진우리,2**,단독,8m미만,168.88,359.0,202102,4,57000,2020.0,진말길,
884,경기도 광주시 목동,3**,단독,8m미만,122.94,275.0,202105,31,52091,2019.0,목동길,20210727.0
888,경기도 광주시 목동,2**,단독,8m미만,160.52,430.0,202106,5,51050,2011.0,진토길,
890,경기도 광주시 목동,3**,단독,8m미만,275.02,655.0,202107,7,73600,2006.0,목동길46번길,
894,경기도 광주시 목현동,2**,단독,8m미만,196.92,497.0,202105,20,65000,2001.0,이배재로367번길,
895,경기도 광주시 목현동,2**,단독,8m미만,95.29,508.0,202106,23,52980,2010.0,이배재로367번길,
897,경기도 광주시 삼동,1**,단독,12m미만,193.67,319.0,202107,2,69000,2000.0,삼지곡길,
898,경기도 광주시 삼동,3**,단독,8m미만,198.09,486.0,202101,25,68000,2009.0,삼지곡길79번길,
922,경기도 광주시 송정동,*,단독,8m미만,249.09,503.0,202104,18,65000,2003.0,경안천로183번길,
923,경기도 광주시 송정동,*,단독,8m미만,192.73,845.0,202101,26,75000,2010.0,경안천로183번길,20210317.0
924,경기도 광주시 송정동,*,단독,8m미만,192.73,845.0,202101,26,76000,2010.0,경안천로183번길,
943,경기도 광주시 오포읍 능평리,2**,단독,8m미만,199.52,212.0,202106,1,74000,2020.0,창뜰아랫길,
944,경기도 광주시 오포읍 능평리,2**,단독,8m미만,153.8,215.0,202107,8,59000,2021.0,창뜰아랫길,
945,경기도 광주시 오포읍 능평리,1**,단독,8m미만,201.47,220.0,202104,3,73000,2017.0,,
946,경기도 광주시 오포읍 능평리,4**,단독,8m미만,130.85,222.0,202106,12,75390,2021.0,,
947,경기도 광주시 오포읍 능평리,1**,단독,8m미만,133.9,228.0,202104,20,65000,2019.0,오포로171번길,
949,경기도 광주시 오포읍 능평리,1**,단독,8m미만,199.71,238.0,202104,11,80000,2016.0,오포로171번길,
951,경기도 광주시 오포읍 능평리,1**,단독,8m미만,195.34,245.0,202107,16,78530,2021.0,오포로171번길,
952,경기도 광주시 오포읍 능평리,4**,단독,-,186.22,248.0,202105,25,76800,2021.0,대명대길11번길,
953,경기도 광주시 오포읍 능평리,6**,단독,8m미만,173.84,250.0,202107,1,59500,2018.0,수레실길,
954,경기도 광주시 오포읍 능평리,4**,단독,-,186.22,252.0,202105,25,76800,2021.0,대명대길11번길,
955,경기도 광주시 오포읍 능평리,1**,단독,8m미만,228.44,282.0,202101,28,88500,2021.0,오포로171번길,20210429.0
956,경기도 광주시 오포읍 능평리,1**,단독,8m미만,228.44,282.0,202101,28,88500,2021.0,오포로171번길,
958,경기도 광주시 오포읍 능평리,6**,단독,8m미만,165.93,294.0,202101,30,55680,2016.0,수레안길43번길,
959,경기도 광주시 오포읍 능평리,6**,단독,8m미만,175.2,314.0,202103,30,53374,2016.0,수레안길41번길,
960,경기도 광주시 오포읍 능평리,6**,단독,8m미만,125.6,316.0,202102,20,52800,2017.0,수레안길41번길,
961,경기도 광주시 오포읍 능평리,6**,단독,8m미만,199.93,318.0,202107,9,57950,2015.0,수레안길41번길,
962,경기도 광주시 오포읍 능평리,2**,단독,8m미만,199.77,328.0,202106,24,71018,2021.0,창뜰아랫길,
963,경기도 광주시 오포읍 능평리,1**,단독,8m미만,158.12,331.0,202105,6,67000,2020.0,오포로171번길,
964,경기도 광주시 오포읍 능평리,6**,단독,8m미만,235.86,335.0,202106,13,63760,2016.0,수레안길41번길,
965,경기도 광주시 오포읍 능평리,2**,단독,-,195.54,338.0,202102,15,75600,2021.0,창뜰아랫길,
966,경기도 광주시 오포읍 능평리,1**,단독,8m미만,122.58,341.0,202101,18,57000,2018.0,오포로171번길,
967,경기도 광주시 오포읍 능평리,6**,단독,8m미만,237.08,350.0,202107,17,63000,2016.0,수레안길41번길,
968,경기도 광주시 오포읍 능평리,6**,단독,8m미만,218.85,356.0,202106,9,56500,2016.0,수레안길41번길,
