시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일
경기도 가평군 가평읍 개곡리,4**,단독,8m미만,59.5,90,202001,15,"2,350",1979,보납로,
경기도 가평군 가평읍 개곡리,3**,단독,8m미만,136.05,290,202010,15,"12,000",2012,당목가일길,
경기도 가평군 가평읍 개곡리,5**,단독,8m미만,121.14,321,202008,3,"17,500",2004,당목가일길,
경기도 가평군 가평읍 개곡리,8**,단독,8m미만,174.99,417,202004,28,"30,000",2007,능모루길,
경기도 가평군 가평읍 개곡리,1**,단독,8m미만,135,495,202007,23,"7,900",2001,당목가일길,
경기도 가평군 가평읍 경반리,*,단독,8m미만,93.51,265,202009,1,"28,532",2018,문화로,
경기도 가평군 가평읍 경반리,5**,단독,8m미만,114.12,645,202012,29,"25,900",2000,경반안로,
경기도 가평군 가평읍 경반리,5**,단독,8m미만,114.12,645,202012,29,"26,000",2000,경반안로,20210215
경기도 가평군 가평읍 금대리,4*,다가구,8m미만,333.61,1726,202010,13,"75,411",2003,북한강변로,
경기도 가평군 가평읍 금대리,4**,단독,8m미만,168.18,662,202009,17,"32,674",2011,북한강변로,
경기도 가평군 가평읍 금대리,5*,단독,8m미만,299.41,894,202006,23,"62,232",2005,북한강변로,
경기도 가평군 가평읍 달전리,7**,단독,8m미만,67.19,204.8,202001,6,"36,000",2015,동연재로,
경기도 가평군 가평읍 달전리,6**,단독,8m미만,146.18,236.6,202011,27,"44,000",2015,동연재로,
경기도 가평군 가평읍 달전리,2**,단독,8m미만,156.48,338,202006,10,"49,000",2019,null,
경기도 가평군 가평읍 달전리,2**,단독,8m미만,158.76,350,202006,30,"50,000",2020,동연재로,
경기도 가평군 가평읍 달전리,2**,단독,12m미만,370.21,990,202004,7,"70,000",2003,북한강변로,
경기도 가평군 가평읍 달전리,1**,단독,8m미만,58.18,1075,202007,14,"140,000",2014,북한강변로,
경기도 가평군 가평읍 대곡리,9*,단독,8m미만,76.06,193,202007,13,"15,500",1977,오목내길,
경기도 가평군 가평읍 대곡리,3**,단독,8m미만,107.82,372,202011,9,"25,000",1980,석봉로,
경기도 가평군 가평읍 대곡리,3**,단독,8m미만,164.78,569,202004,8,"81,920",1992,석봉로77번길,
경기도 가평군 가평읍 대곡리,5**,단독,8m미만,99.4,595,202010,19,"32,010",2014,석봉로3번길,
경기도 가평군 가평읍 두밀리,*,다가구,8m미만,198.4,574,202010,7,"37,367",2014,태봉두밀로,
경기도 가평군 가평읍 두밀리,5**,단독,8m미만,54,96,202006,24,"3,000",1994,태봉두밀로596번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,59.1,208,202009,3,"6,800",2019,태봉두밀로406번길,20201102
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,59.04,218,202008,19,"14,400",2019,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,78.98,218,202002,20,"7,625",2019,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,56.42,283,202005,23,"12,500",2014,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,52.7,291,202008,27,"11,500",2014,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,1**,단독,8m미만,45.92,318,202010,10,"11,900",2014,태봉두밀로406번길,
경기도 가평군 가평읍 두밀리,4*,단독,8m미만,54.94,396,202011,20,"14,300",2016,태봉두밀로,
경기도 가평군 가평읍 두밀리,4*,단독,8m미만,67.13,396,202008,31,"16,300",2016,태봉두밀로,
경기도 가평군 가평읍 두밀리,1*,단독,12m미만,105.04,420,202009,20,"18,000",2001,태봉두밀로,
경기도 가평군 가평읍 두밀리,4**,단독,8m미만,76,488,202007,4,"10,000",2016,태봉두밀로,
경기도 가평군 가평읍 두밀리,5**,단독,8m미만,181.96,721,202005,12,"22,700",1997,태봉두밀로596번길,
경기도 가평군 가평읍 마장리,6**,단독,8m미만,63.89,198,202002,24,"11,190",2017,아랫마장길,
경기도 가평군 가평읍 마장리,8**,단독,8m미만,110.46,348,202005,12,"29,000",2019,아랫마장길,
경기도 가평군 가평읍 마장리,8**,단독,8m미만,110.46,348,202009,16,"29,000",2019,아랫마장길,
경기도 가평군 가평읍 마장리,3**,단독,8m미만,47.55,352,202010,6,"9,000",2009,물안산길,20210224
경기도 가평군 가평읍 마장리,6*,단독,8m미만,84.04,435,202003,2,"21,200",2018,물안산길,
경기도 가평군 가평읍 마장리,6*,단독,8m미만,84.28,441,202009,4,"24,900",2018,물안산길,
경기도 가평군 가평읍 마장리,6*,단독,8m미만,84.28,441,202004,29,"21,500",2018,물안산길,
경기도 가평군 가평읍 마장리,6**,단독,8m미만,67.3,454,202010,26,"20,000",2015,아랫마장길,
경기도 가평군 가평읍 마장리,6*,단독,8m미만,84.28,455,202003,30,"25,600",2018,물안산길,
경기도 가평군 가평읍 마장리,8**,단독,8m미만,161.06,525,202002,17,"24,850",2005,아랫마장길,
경기도 가평군 가평읍 마장리,7**,단독,8m미만,123.33,990,202006,3,"45,650",2015,아랫마장길,
경기도 가평군 가평읍 복장리,6**,단독,8m미만,77.25,258,202010,7,"2,800",1989,상지로,
경기도 가평군 가평읍 복장리,6*,단독,8m미만,97.9,456,202009,14,"27,000",1984,호반로,
경기도 가평군 가평읍 복장리,5**,단독,12m미만,155.96,520,202004,2,"17,000",2012,호반로,
경기도 가평군 가평읍 복장리,1**,단독,8m미만,105.86,637,202006,13,"27,000",2014,호반로,
경기도 가평군 가평읍 복장리,4**,단독,8m미만,153.03,1631,202009,17,"78,057",2011,굴바우길,
경기도 가평군 가평읍 산유리,4**,다가구,8m미만,508.95,2043,202005,7,"125,000",2015,상지로,20200526
경기도 가평군 가평읍 상색리,6*,단독,8m미만,154.68,396,202011,5,"16,598",2000,연갈길,
경기도 가평군 가평읍 상색리,4**,단독,8m미만,99.11,674,202002,7,"17,500",2001,불기산길,
경기도 가평군 가평읍 승안리,1*,단독,8m미만,49.5,152,202004,13,"8,100",1979,계량촌길,
경기도 가평군 가평읍 승안리,4**,단독,8m미만,175.56,344,202007,2,"22,000",1998,용추로,
경기도 가평군 가평읍 승안리,2**,단독,12m미만,194.9,633,202008,10,"40,000",2017,용추로,
경기도 가평군 가평읍 승안리,2**,단독,8m미만,193.59,917,202004,16,"46,573",2020,용추로171번길,
경기도 가평군 가평읍 읍내리,9**,다가구,8m미만,128.46,386,202003,30,"5,000",2006,잎너비길,
경기도 가평군 가평읍 읍내리,5**,단독,8m미만,30.34,122,202002,14,"6,000",1900,중촌로,
경기도 가평군 가평읍 읍내리,5**,단독,8m미만,77.54,132,202004,20,"13,000",1900,새말옛로6번길,
경기도 가평군 가평읍 읍내리,3**,단독,8m미만,69.42,199,202009,14,"18,000",1900,자라목3길,
